旭川医科大学大学院,http://www.asahikawa-med.ac.jp/,国立　大学院,〒078-8510 北海道 旭川市 緑が丘東二条1-1-1,0166-65-2111,医学系研究科 医学専攻,4年制博士課程 , 
旭川医科大学大学院,http://www.asahikawa-med.ac.jp/,国立　大学院,〒078-8510 北海道 旭川市 緑が丘東二条1-1-1,0166-65-2111,医学系研究科 看護学専攻,修士課程 , 
旭川大学大学院,http://www.asahikawa-u.ac.jp/,私立　大学院,〒079-8501 北海道 旭川市 永山三条23-1-9,0166-48-3121,地域政策研究科 地域政策専攻,修士課程 , 
小樽商科大学大学院,http://www.otaru-uc.ac.jp/,国立　大学院,〒047-8501 北海道 小樽市 緑3-5-21,0134-27-5200,商学研究科 現代商学専攻,博士前期・後期課程 , 
小樽商科大学大学院,http://www.otaru-uc.ac.jp/,国立　大学院,〒047-8501 北海道 小樽市 緑3-5-21,0134-27-5200,商学研究科 アントレプレナーシップ専攻,専門職学位課程 ,ビジネス系
帯広畜産大学大学院,http://www.obihiro.ac.jp/,国立　大学院,〒080-8555 北海道 帯広市 稲田町西2線11,0155-49-5216,畜産学研究科 畜産生命科学専攻,修士課程 , 
帯広畜産大学大学院,http://www.obihiro.ac.jp/,国立　大学院,〒080-8555 北海道 帯広市 稲田町西2線11,0155-49-5216,畜産学研究科 食品科学専攻,修士課程 , 
帯広畜産大学大学院,http://www.obihiro.ac.jp/,国立　大学院,〒080-8555 北海道 帯広市 稲田町西2線11,0155-49-5216,畜産学研究科 資源環境農学専攻,修士課程 , 
帯広畜産大学大学院,http://www.obihiro.ac.jp/,国立　大学院,〒080-8555 北海道 帯広市 稲田町西2線11,0155-49-5216,畜産学研究科 畜産科学専攻,博士前期・後期課程 , 
帯広畜産大学大学院,http://www.obihiro.ac.jp/,国立　大学院,〒080-8555 北海道 帯広市 稲田町西2線11,0155-49-5216,畜産学研究科 獣医学専攻,4年制博士課程 , 
青森県立保健大学大学院,http://www.auhw.ac.jp/,公立　大学院,〒030-8505 青森県 青森市 浜館字間瀬58-1,017-765-2000,健康科学研究科 健康科学専攻,博士前期・後期課程 , 
青森公立大学大学院,http://www.nebuta.ac.jp/grad/index.html,公立　大学院,〒030-0196 青森県 青森市 合子沢山崎153-4,017-764-1555,経営経済学研究科 経営経済学専攻,博士前期・後期課程 , 
青森中央学院大学大学院,http://www.aomoricgu.ac.jp/,私立　大学院,〒030-0132 青森県 青森市 横内字神田12,017-728-0131,地域マネジメント研究科 地域マネジメント専攻,修士課程 , 
岩手県立大学大学院,http://www.iwate-pu.ac.jp/,公立　大学院,〒020-0693 岩手県 滝沢市 巣子152-52,019-694-2000,看護学研究科 看護学専攻,博士前期・後期課程 , 
岩手県立大学大学院,http://www.iwate-pu.ac.jp/,公立　大学院,〒020-0693 岩手県 滝沢市 巣子152-52,019-694-2000,社会福祉学研究科 社会福祉学専攻,博士前期・後期課程 , 
岩手県立大学大学院,http://www.iwate-pu.ac.jp/,公立　大学院,〒020-0693 岩手県 滝沢市 巣子152-52,019-694-2000,ソフトウェア情報学研究科 ソフトウェア情報学専攻,博士前期・後期課程 , 
岩手県立大学大学院,http://www.iwate-pu.ac.jp/,公立　大学院,〒020-0693 岩手県 滝沢市 巣子152-52,019-694-2000,総合政策研究科 総合政策専攻,博士前期・後期課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 生理系専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 病理系専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 社会医学系専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 内科系専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 外科系専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,医学研究科 医科学専攻,修士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,歯学研究科 歯学専攻,4年制博士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,薬学研究科 薬科学専攻,修士課程 , 
岩手医科大学大学院,http://www.iwate-med.ac.jp,私立　大学院,〒020-8505 岩手県 盛岡市 内丸19-1,019-651-5111,薬学研究科 医療薬学専攻,4年制博士課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,総合科学研究科 総合文化専攻,修士課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,総合科学研究科 農学専攻,修士課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,総合科学研究科 地域創生専攻,修士課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,総合科学研究科 理工学専攻,修士課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,教育学研究科 教職実践専攻,専門職学位課程 ,教職大学院
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,工学研究科 フロンティア物質機能工学専攻,博士後期課程 , 
岩手大学大学院,http://www.iwate-u.ac.jp/,国立　大学院,〒020-8550 岩手県 盛岡市 上田3-18-8,019-621-6006,工学研究科 電気電子・情報システム工学専攻,博士後期課程 , 
