code,pre,city,city_kana
16616,1,釧路町,クシロチョウ
16624,1,厚岸町,アッケシチョウ
16632,1,浜中町,ハマナカチョウ
16641,1,標茶町,シベチャチョウ
16659,1,弟子屈町,テシカガチョウ
16675,1,鶴居村,ツルイムラ
16683,1,白糠町,シラヌカチョウ
16918,1,別海町,ベツカイチョウ
16926,1,中標津町,ナカシベツチョウ
16934,1,標津町,シベツチョウ
16942,1,羅臼町,ラウスチョウ
22012,2,青森市,アオモリシ
22021,2,弘前市,ヒロサキシ
22039,2,八戸市,ハチノヘシ
22047,2,黒石市,クロイシシ
22055,2,五所川原市,ゴショガワラシ
22063,2,十和田市,トワダシ
22071,2,三沢市,ミサワシ
22080,2,むつ市,ムツシ
22098,2,つがる市,ツガルシ
22101,2,平川市,ヒラカワシ
23019,2,平内町,ヒラナイマチ
23035,2,今別町,イマベツマチ
23043,2,蓬田村,ヨモギタムラ
23078,2,外ヶ浜町,ソトガハママチ
23213,2,鰺ヶ沢町,アジガサワマチ
23230,2,深浦町,フカウラマチ
23434,2,西目屋村,ニシメヤムラ
23612,2,藤崎町,フジサキマチ
23621,2,大鰐町,オオワニマチ
23671,2,田舎館村,イナカダテムラ
23817,2,板柳町,イタヤナギマチ
23841,2,鶴田町,ツルタマチ
23876,2,中泊町,ナカドマリマチ
24015,2,野辺地町,ノヘジマチ
24023,2,七戸町,シチノヘマチ
24058,2,六戸町,ロクノヘマチ
24066,2,横浜町,ヨコハママチ
24082,2,東北町,トウホクマチ
24112,2,六ヶ所村,ロッカショムラ
24121,2,おいらせ町,オイラセチョウ
24236,2,大間町,オオママチ
24244,2,東通村,ヒガシドオリムラ
24252,2,風間浦村,カザマウラムラ
24261,2,佐井村,サイムラ
24414,2,三戸町,サンノヘマチ
24422,2,五戸町,ゴノヘマチ
24431,2,田子町,タッコマチ
24457,2,南部町,ナンブチョウ
24465,2,階上町,ハシカミチョウ
24503,2,新郷村,シンゴウムラ
32018,3,盛岡市,モリオカシ
32026,3,宮古市,ミヤコシ
32034,3,大船渡市,オオフナトシ
32051,3,花巻市,ハナマキシ
32069,3,北上市,キタカミシ
32077,3,久慈市,クジシ
32085,3,遠野市,トオノシ
32093,3,一関市,イチノセキシ
32107,3,陸前高田市,リクゼンタカタシ
32115,3,釜石市,カマイシシ
32131,3,二戸市,ニノヘシ
32140,3,八幡平市,ハチマンタイシ
32158,3,奥州市,オウシュウシ
32166,3,滝沢市,タキザワシ
33014,3,雫石町,シズクイシチョウ
33022,3,葛巻町,クズマキマチ
33031,3,岩手町,イワテマチ
33219,3,紫波町,シワチョウ
33227,3,矢巾町,ヤハバチョウ
33669,3,西和賀町,ニシワガマチ
33812,3,金ケ崎町,カネガサキチョウ
34029,3,平泉町,ヒライズミチョウ
34410,3,住田町,スミタチョウ
34614,3,大槌町,オオツチチョウ
34827,3,山田町,ヤマダマチ
34835,3,岩泉町,イワイズミチョウ
34843,3,田野畑村,タノハタムラ
34851,3,普代村,フダイムラ
35017,3,軽米町,カルマイマチ
35033,3,野田村,ノダムラ
35068,3,九戸村,クノヘムラ
35076,3,洋野町,ヒロノチョウ
35246,3,一戸町,イチノヘマチ
41009,4,仙台市,センダイシ
42021,4,石巻市,イシノマキシ
42030,4,塩竈市,シオガマシ
42056,4,気仙沼市,ケセンヌマシ
42064,4,白石市,シロイシシ
42072,4,名取市,ナトリシ
42081,4,角田市,カクダシ
42099,4,多賀城市,タガジョウシ
42111,4,岩沼市,イワヌマシ
42129,4,登米市,トメシ
42137,4,栗原市,クリハラシ
42145,4,東松島市,ヒガシマツシマシ
42153,4,大崎市,オオサキシ
42161,4,富谷市,トミヤシ
43010,4,蔵王町,ザオウマチ
43028,4,七ヶ宿町,シチカシュクマチ
43214,4,大河原町,オオガワラマチ
43222,4,村田町,ムラタマチ
43231,4,柴田町,シバタマチ
43249,4,川崎町,カワサキマチ
43419,4,丸森町,マルモリマチ
43613,4,亘理町,ワタリチョウ
43621,4,山元町,ヤマモトチョウ
44016,4,松島町,マツシママチ
44041,4,七ヶ浜町,シチガハママチ
44067,4,利府町,リフチョウ
44211,4,大和町,タイワチョウ
44229,4,大郷町,オオサトチョウ
44245,4,大衡村,オオヒラムラ
44440,4,色麻町,シカマチョウ
44458,4,加美町,カミマチ
45012,4,涌谷町,ワクヤチョウ
45055,4,美里町,ミサトマチ
45811,4,女川町,オナガワチョウ
46060,4,南三陸町,ミナミサンリクチョウ
52019,5,秋田市,アキタシ
52027,5,能代市,ノシロシ
52035,5,横手市,ヨコテシ
52043,5,大館市,オオダテシ
52060,5,男鹿市,オガシ
52078,5,湯沢市,ユザワシ
52094,5,鹿角市,カヅノシ
52108,5,由利本荘市,ユリホンジョウシ
52116,5,潟上市,カタガミシ
52124,5,大仙市,ダイセンシ
52132,5,北秋田市,キタアキタシ
52141,5,にかほ市,ニカホシ
52159,5,仙北市,センボクシ
53031,5,小坂町,コサカマチ
53279,5,上小阿仁村,カミコアニムラ
53465,5,藤里町,フジサトマチ
53481,5,三種町,ミタネチョウ
53490,5,八峰町,ハッポウチョウ
53619,5,五城目町,ゴジョウメマチ
53635,5,八郎潟町,ハチロウガタマチ
53660,5,井川町,イカワマチ
53686,5,大潟村,オオガタムラ
54348,5,美郷町,ミサトチョウ
54631,5,羽後町,ウゴマチ
54640,5,東成瀬村,ヒガシナルセムラ
62014,6,山形市,ヤマガタシ
62022,6,米沢市,ヨネザワシ
62031,6,鶴岡市,ツルオカシ
62049,6,酒田市,サカタシ
62057,6,新庄市,シンジョウシ
62065,6,寒河江市,サガエシ
62073,6,上山市,カミノヤマシ
62081,6,村山市,ムラヤマシ
62090,6,長井市,ナガイシ
62103,6,天童市,テンドウシ
62111,6,東根市,ヒガシネシ
62120,6,尾花沢市,オバナザワシ
62138,6,南陽市,ナンヨウシ
63011,6,山辺町,ヤマノベマチ
63029,6,中山町,ナカヤママチ
63215,6,河北町,カホクチョウ
63223,6,西川町,ニシカワマチ
63231,6,朝日町,アサヒマチ
63240,6,大江町,オオエマチ
63410,6,大石田町,オオイシダマチ
63614,6,金山町,カネヤママチ
63622,6,最上町,モガミマチ
63631,6,舟形町,フナガタマチ
63649,6,真室川町,マムロガワマチ
63657,6,大蔵村,オオクラムラ
63665,6,鮭川村,サケガワムラ
63673,6,戸沢村,トザワムラ
63819,6,高畠町,タカハタマチ
63827,6,川西町,カワニシマチ
64017,6,小国町,オグニマチ
64025,6,白鷹町,シラタカマチ
64033,6,飯豊町,イイデマチ
64262,6,三川町,ミカワマチ
64289,6,庄内町,シヨウナイマチ
64611,6,遊佐町,ユザマチ
72010,7,福島市,フクシマシ
72028,7,会津若松市,アイヅワカマツシ
72036,7,郡山市,コオリヤマシ
72044,7,いわき市,イワキシ
72052,7,白河市,シラカワシ
72079,7,須賀川市,スカガワシ
72087,7,喜多方市,キタカタシ
72095,7,相馬市,ソウマシ
72109,7,二本松市,ニホンマツシ
72117,7,田村市,タムラシ
72125,7,南相馬市,ミナミソウマシ
72133,7,伊達市,ダテシ
72141,7,本宮市,モトミヤシ
73016,7,桑折町,コオリマチ
73032,7,国見町,クニミマチ
73083,7,川俣町,カワマタマチ
73229,7,大玉村,オオタマムラ
73423,7,鏡石町,カガミイシマチ
73440,7,天栄村,テンエイムラ
73628,7,下郷町,シモゴウマチ
73644,7,檜枝岐村,ヒノエマタムラ
73679,7,只見町,タダミマチ
73687,7,南会津町,ミナミアイヅマチ
74021,7,北塩原村,キタシオバラムラ
74055,7,西会津町,ニシアイヅマチ
74071,7,磐梯町,バンダイマチ
74080,7,猪苗代町,イナワシロマチ
74217,7,会津坂下町,アイヅバンゲマチ
74225,7,湯川村,ユガワムラ
74233,7,柳津町,ヤナイヅマチ
74446,7,三島町,ミシママチ
74454,7,金山町,カネヤママチ
74462,7,昭和村,ショウワムラ
74471,7,会津美里町,アイヅミサトマチ
74616,7,西郷村,ニシゴウムラ
74641,7,泉崎村,イズミザキムラ
74659,7,中島村,ナカジマムラ
74667,7,矢吹町,ヤブキマチ
74811,7,棚倉町,タナグラマチ
74829,7,矢祭町,ヤマツリマチ
74837,7,塙町,ハナワマチ
74845,7,鮫川村,サメガワムラ
75019,7,石川町,イシカワマチ
75027,7,玉川村,タマカワムラ
75035,7,平田村,ヒラタムラ
75043,7,浅川町,アサカワマチ
75051,7,古殿町,フルドノマチ
75213,7,三春町,ミハルマチ
75221,7,小野町,オノマチ
75418,7,広野町,ヒロノマチ
75426,7,楢葉町,ナラハマチ
75434,7,富岡町,トミオカマチ
75442,7,川内村,カワウチムラ
75451,7,大熊町,オオクママチ
75469,7,双葉町,フタバマチ
75477,7,浪江町,ナミエマチ
75485,7,葛尾村,カツラオムラ
75612,7,新地町,シンチマチ
75647,7,飯舘村,イイタテムラ
82015,8,水戸市,ミトシ
82023,8,日立市,ヒタチシ
82031,8,土浦市,ツチウラシ
82040,8,古河市,コガシ
82058,8,石岡市,イシオカシ
82074,8,結城市,ユウキシ
82082,8,龍ケ崎市,リュウガサキシ
82104,8,下妻市,シモツマシ
82112,8,常総市,ジョウソウシ
82121,8,常陸太田市,ヒタチオオタシ
82147,8,高萩市,タカハギシ
82155,8,北茨城市,キタイバラキシ
82163,8,笠間市,カサマシ
82171,8,取手市,トリデシ
82198,8,牛久市,ウシクシ
82201,8,つくば市,ツクバシ
82210,8,ひたちなか市,ヒタチナカシ
82228,8,鹿嶋市,カシマシ
82236,8,潮来市,イタコシ
82244,8,守谷市,モリヤシ
82252,8,常陸大宮市,ヒタチオオミヤシ
82261,8,那珂市,ナカシ
82279,8,筑西市,チクセイシ
82287,8,坂東市,バンドウシ
82295,8,稲敷市,イナシキシ
82309,8,かすみがうら市,カスミガウラシ
82317,8,桜川市,サクラガワシ
82325,8,神栖市,カミスシ
82333,8,行方市,ナメガタシ
82341,8,鉾田市,ホコタシ
82350,8,つくばみらい市,ツクバミライシ
82368,8,小美玉市,オミタマシ
83020,8,茨城町,イバラキマチ
83097,8,大洗町,オオアライマチ
83101,8,城里町,シロサトマチ
83411,8,東海村,トウカイムラ
83640,8,大子町,ダイゴマチ
84425,8,美浦村,ミホムラ
84433,8,阿見町,アミマチ
84476,8,河内町,カワチマチ
85219,8,八千代町,ヤチヨマチ
85421,8,五霞町,ゴカマチ
85464,8,境町,サカイマチ
85642,8,利根町,トネマチ
92011,9,宇都宮市,ウツノミヤシ
92029,9,足利市,アシカガシ
92037,9,栃木市,トチギシ
92045,9,佐野市,サノシ
92053,9,鹿沼市,カヌマシ
92061,9,日光市,ニッコウシ
92088,9,小山市,オヤマシ
92096,9,真岡市,モオカシ
92100,9,大田原市,オオタワラシ
92118,9,矢板市,ヤイタシ
92134,9,那須塩原市,ナスシオバラシ
92142,9,さくら市,サクラシ
92151,9,那須烏山市,ナスカラスヤマシ
92169,9,下野市,シモツケシ
93017,9,上三川町,カミノカワマチ
93424,9,益子町,マシコマチ
93432,9,茂木町,モテギマチ
93441,9,市貝町,イチカイマチ
93459,9,芳賀町,ハガマチ
93611,9,壬生町,ミブマチ
93645,9,野木町,ノギマチ
93840,9,塩谷町,シオヤマチ
93866,9,高根沢町,タカネザワマチ
94072,9,那須町,ナスマチ
94111,9,那珂川町,ナカガワマチ
102016,10,前橋市,マエバシシ
102024,10,高崎市,タカサキシ
102032,10,桐生市,キリュウシ
102041,10,伊勢崎市,イセサキシ
102059,10,太田市,オオタシ
102067,10,沼田市,ヌマタシ
102075,10,館林市,タテバヤシシ
102083,10,渋川市,シブカワシ
102091,10,藤岡市,フジオカシ
102105,10,富岡市,トミオカシ
102113,10,安中市,アンナカシ
102121,10,みどり市,ミドリシ
103446,10,榛東村,シントウムラ
103454,10,吉岡町,ヨシオカマチ
103667,10,上野村,ウエノムラ
103675,10,神流町,カンナマチ
103829,10,下仁田町,シモニタマチ
103837,10,南牧村,ナンモクムラ
103845,10,甘楽町,カンラマチ
104213,10,中之条町,ナカノジヨウマチ
104248,10,長野原町,ナガノハラマチ
104256,10,嬬恋村,ツマゴイムラ
104264,10,草津町,クサツマチ
104281,10,高山村,タカヤマムラ
104299,10,東吾妻町,ヒガシアガツママチ
104434,10,片品村,カタシナムラ
104442,10,川場村,カワバムラ
104485,10,昭和村,ショウワムラ
104493,10,みなかみ町,ミナカミマチ
104647,10,玉村町,タマムラマチ
105210,10,板倉町,イタクラマチ
105228,10,明和町,メイワマチ
105236,10,千代田町,チヨダマチ
105244,10,大泉町,オオイズミマチ
105252,10,邑楽町,オウラマチ
111007,11,さいたま市,サイタマシ
112011,11,川越市,カワゴエシ
112020,11,熊谷市,クマガヤシ
112038,11,川口市,カワグチシ
112062,11,行田市,ギヨウダシ
112071,11,秩父市,チチブシ
112089,11,所沢市,トコロザワシ
112097,11,飯能市,ハンノウシ
112101,11,加須市,カゾシ
112119,11,本庄市,ホンジヨウシ
112127,11,東松山市,ヒガシマツヤマシ
112143,11,春日部市,カスカベシ
112151,11,狭山市,サヤマシ
112160,11,羽生市,ハニユウシ
112178,11,鴻巣市,コウノスシ
112186,11,深谷市,フカヤシ
112194,11,上尾市,アゲオシ
112216,11,草加市,ソウカシ
112224,11,越谷市,コシガヤシ
112232,11,蕨市,ワラビシ
112241,11,戸田市,トダシ
112259,11,入間市,イルマシ
112275,11,朝霞市,アサカシ
112283,11,志木市,シキシ
112291,11,和光市,ワコウシ
112305,11,新座市,ニイザシ
112313,11,桶川市,オケガワシ
112321,11,久喜市,クキシ
112330,11,北本市,キタモトシ
112348,11,八潮市,ヤシオシ
112356,11,富士見市,フジミシ
112372,11,三郷市,ミサトシ
112381,11,蓮田市,ハスダシ
112399,11,坂戸市,サカドシ
112402,11,幸手市,サッテシ
112411,11,鶴ヶ島市,ツルガシマシ
112429,11,日高市,ヒダカシ
112437,11,吉川市,ヨシカワシ
112453,11,ふじみ野市,フジミノシ
112461,11,白岡市,シラオカシ
113018,11,伊奈町,イナマチ
113247,11,三芳町,ミヨシマチ
113263,11,毛呂山町,モロヤママチ
113271,11,越生町,オゴセマチ
113417,11,滑川町,ナメガワマチ
113425,11,嵐山町,ランザンマチ
113433,11,小川町,オガワマチ
113468,11,川島町,カワジママチ
113476,11,吉見町,ヨシミマチ
113484,11,鳩山町,ハトヤママチ
113492,11,ときがわ町,トキガワマチ
113611,11,横瀬町,ヨコゼマチ
113620,11,皆野町,ミナノマチ
113638,11,長瀞町,ナガトロマチ
113654,11,小鹿野町,オガノマチ
113697,11,東秩父村,ヒガシチチブムラ
113816,11,美里町,ミサトマチ
113832,11,神川町,カミカワマチ
113859,11,上里町,カミサトマチ
114081,11,寄居町,ヨリイマチ
114421,11,宮代町,ミヤシロマチ
114642,11,杉戸町,スギトマチ
114651,11,松伏町,マツブシマチ
121002,12,千葉市,チバシ
122025,12,銚子市,チョウシシ
122033,12,市川市,イチカワシ
122041,12,船橋市,フナバシシ
122050,12,館山市,タテヤマシ
122068,12,木更津市,キサラヅシ
122076,12,松戸市,マツドシ
122084,12,野田市,ノダシ
122106,12,茂原市,モバラシ
122114,12,成田市,ナリタシ
122122,12,佐倉市,サクラシ
122131,12,東金市,トウガネシ
122157,12,旭市,アサヒシ
122165,12,習志野市,ナラシノシ
122173,12,柏市,カシワシ
122181,12,勝浦市,カツウラシ
122190,12,市原市,イチハラシ
122203,12,流山市,ナガレヤマシ
122211,12,八千代市,ヤチヨシ
122220,12,我孫子市,アビコシ
122238,12,鴨川市,カモガワシ
122246,12,鎌ケ谷市,カマガヤシ
122254,12,君津市,キミツシ
122262,12,富津市,フッツシ
122271,12,浦安市,ウラヤスシ
122289,12,四街道市,ヨツカイドウシ
122297,12,袖ケ浦市,ソデガウラシ
122301,12,八街市,ヤチマタシ
122319,12,印西市,インザイシ
122327,12,白井市,シロイシ
122335,12,富里市,トミサトシ
122343,12,南房総市,ミナミボウソウシ
122351,12,匝瑳市,ソウサシ
122360,12,香取市,カトリシ
122378,12,山武市,サンムシ
122386,12,いすみ市,イスミシ
122394,12,大網白里市,オオアミシラサトシ
123226,12,酒々井町,シスイマチ
123293,12,栄町,サカエマチ
123421,12,神崎町,コウザキマチ
123471,12,多古町,タコマチ
123498,12,東庄町,トウノショウマチ
124036,12,九十九里町,クジユウクリマチ
124095,12,芝山町,シバヤママチ
124109,12,横芝光町,ヨコシバヒカリマチ
124214,12,一宮町,イチノミヤマチ
124222,12,睦沢町,ムツザワマチ
124231,12,長生村,チョウセイムラ
124249,12,白子町,シラコマチ
124265,12,長柄町,ナガラマチ
124273,12,長南町,チョウナンマチ
124419,12,大多喜町,オオタキマチ
124435,12,御宿町,オンジユクマチ
124630,12,鋸南町,キヨナンマチ
131016,13,千代田区,チヨダク
131024,13,中央区,チュウオウク
131032,13,港区,ミナトク
131041,13,新宿区,シンジュクク
131059,13,文京区,ブンキョウク
131067,13,台東区,タイトウク
131075,13,墨田区,スミダク
131083,13,江東区,コウトウク
131091,13,品川区,シナガワク
131105,13,目黒区,メグロク
131113,13,大田区,オオタク
131121,13,世田谷区,セタガヤク
131130,13,渋谷区,シブヤク
131148,13,中野区,ナカノク
131156,13,杉並区,スギナミク
131164,13,豊島区,トシマク
131172,13,北区,キタク
131181,13,荒川区,アラカワク
131199,13,板橋区,イタバシク
131202,13,練馬区,ネリマク
131211,13,足立区,アダチク
131229,13,葛飾区,カツシカク
131237,13,江戸川区,エドガワク
132012,13,八王子市,ハチオウジシ
132021,13,立川市,タチカワシ
132039,13,武蔵野市,ムサシノシ
132047,13,三鷹市,ミタカシ
132055,13,青梅市,オウメシ
132063,13,府中市,フチュウシ
132071,13,昭島市,アキシマシ
132080,13,調布市,チョウフシ
132098,13,町田市,マチダシ
132101,13,小金井市,コガネイシ
132110,13,小平市,コダイラシ
132128,13,日野市,ヒノシ
132136,13,東村山市,ヒガシムラヤマシ
132144,13,国分寺市,コクブンジシ
132152,13,国立市,クニタチシ
132187,13,福生市,フッサシ
132195,13,狛江市,コマエシ
132209,13,東大和市,ヒガシヤマトシ
132217,13,清瀬市,キヨセシ
132225,13,東久留米市,ヒガシクルメシ
132233,13,武蔵村山市,ムサシムラヤマシ
132241,13,多摩市,タマシ
132250,13,稲城市,イナギシ
132276,13,羽村市,ハムラシ
132284,13,あきる野市,アキルノシ
132292,13,西東京市,ニシトウキョウシ
133035,13,瑞穂町,ミズホマチ
133051,13,日の出町,ヒノデマチ
133078,13,檜原村,ヒノハラムラ
133086,13,奥多摩町,オクタママチ
133612,13,大島町,オオシママチ
133621,13,利島村,トシマムラ
133639,13,新島村,ニイジマムラ
133647,13,神津島村,コウヅシマムラ
133817,13,三宅村,ミヤケムラ
133825,13,御蔵島村,ミクラジマムラ
134015,13,八丈町,ハチジョウマチ
134023,13,青ヶ島村,アオガシマムラ
134210,13,小笠原村,オガサワラムラ
141003,14,横浜市,ヨコハマシ
141305,14,川崎市,カワサキシ
141500,14,相模原市,サガミハラシ
142018,14,横須賀市,ヨコスカシ
142034,14,平塚市,ヒラツカシ
142042,14,鎌倉市,カマクラシ
142051,14,藤沢市,フジサワシ
142069,14,小田原市,オダワラシ
142077,14,茅ヶ崎市,チガサキシ
142085,14,逗子市,ズシシ
142107,14,三浦市,ミウラシ
142115,14,秦野市,ハダノシ
142123,14,厚木市,アツギシ
142131,14,大和市,ヤマトシ
142140,14,伊勢原市,イセハラシ
142158,14,海老名市,エビナシ
142166,14,座間市,ザマシ
142174,14,南足柄市,ミナミアシガラシ
142182,14,綾瀬市,アヤセシ
143014,14,葉山町,ハヤママチ
143219,14,寒川町,サムカワマチ
143413,14,大磯町,オオイソマチ
143421,14,二宮町,ニノミヤマチ
143618,14,中井町,ナカイマチ
143626,14,大井町,オオイマチ
143634,14,松田町,マツダマチ
143642,14,山北町,ヤマキタマチ
143669,14,開成町,カイセイマチ
143821,14,箱根町,ハコネマチ
143839,14,真鶴町,マナツルマチ
143847,14,湯河原町,ユガワラマチ
144011,14,愛川町,アイカワマチ
144029,14,清川村,キヨカワムラ
151009,15,新潟市,ニイガタシ
152021,15,長岡市,ナガオカシ
152048,15,三条市,サンジョウシ
152056,15,柏崎市,カシワザキシ
152064,15,新発田市,シバタシ
152081,15,小千谷市,オヂヤシ
152099,15,加茂市,カモシ
152102,15,十日町市,トオカマチシ
152111,15,見附市,ミツケシ
152129,15,村上市,ムラカミシ
152137,15,燕市,ツバメシ
152161,15,糸魚川市,イトイガワシ
152170,15,妙高市,ミョウコウシ
152188,15,五泉市,ゴセンシ
152226,15,上越市,ジョウエツシ
152234,15,阿賀野市,アガノシ
152242,15,佐渡市,サドシ
152251,15,魚沼市,ウオヌマシ
152269,15,南魚沼市,ミナミウオヌマシ
152277,15,胎内市,タイナイシ
153079,15,聖籠町,セイロウマチ
153427,15,弥彦村,ヤヒコムラ
153613,15,田上町,タガミマチ
153851,15,阿賀町,アガマチ
154059,15,出雲崎町,イズモザキマチ
154610,15,湯沢町,ユザワマチ
154822,15,津南町,ツナンマチ
155047,15,刈羽村,カリワムラ
155811,15,関川村,セキカワムラ
155861,15,粟島浦村,アワシマウラムラ
162019,16,富山市,トヤマシ
162027,16,高岡市,タカオカシ
162043,16,魚津市,ウオヅシ
162051,16,氷見市,ヒミシ
162060,16,滑川市,ナメリカワシ
162078,16,黒部市,クロベシ
162086,16,砺波市,トナミシ
162094,16,小矢部市,オヤベシ
162108,16,南砺市,ナントシ
162116,16,射水市,イミズシ
163210,16,舟橋村,フナハシムラ
163228,16,上市町,カミイチマチ
163236,16,立山町,タテヤママチ
